code,name,value,correlation_cof,p_value,n,presentmentioned
MGM,black_enslaved_black_male,0.7146433082450634,0.7146433082450634,5.322602494887461e-98,7,Both
MGM,white_upper_class_female,0.8082312786120348,0.8082312786120348,2.938828060503743e-144,13,Both
MGM,white_upper_class_male,0.9813437680778444,0.9813437680778444,0,36,Both
MNK,white_lower_class_male,0.6037850434590286,0.6037850434590286,2.193901570297642e-31,23,Both
MNK,white_poor_white_male,0.7727947878918605,0.7727947878918605,3.431643564368681e-61,8,Both
MNK,white_upper_class_male,0.5403059565324042,0.5403059565324042,2.743704828571912e-24,36,Both
MY,black_free_black_female,0.9837764524663329,0.9837764524663329,1.9275758905321092e-218,7,Both
MY,white_lower_class_female,0.8673762777448036,0.8673762777448036,6.924097520765885e-90,8,Both
MY,white_lower_class_male,0.6434937985287389,0.6434937985287389,1.5697862091187385e-35,23,Both
MZG,white_lower_class_female,0.8467652997435167,0.8467652997435167,3.768915667704798e-86,8,Both
MZG,white_middle_class_female,0.685731247618154,0.685731247618154,2.9379071658813137e-44,6,Both
OLD,mixedblackindian_indian_tribal_leader_male,0.8810206410303056,0.8810206410303056,5.758142209391157e-50,1,Both
OLD,white_upper_class_male,0.9412010257552351,0.9412010257552351,1.2376570796869796e-71,36,Both
PAN,black_free_black_female,0.5760269333520497,0.5760269333520497,9.61528773428893e-14,7,Both
PAN,black_free_black_male,0.9512436766446062,0.9512436766446062,2.2815289480318826e-72,9,Both
PAN,white_lower_class_male,0.6064404612616172,0.6064404612616172,2.0119876781246585e-15,23,Both
POL,black_free_black_female,0.6799821530534061,0.6799821530534061,1.4089971281804446e-29,7,Both
POL,black_free_black_male,0.9862684768628295,0.9862684768628295,4.298946368788975e-163,9,Both
RAI,black_enslaved_black_male,0.765518071172263,0.765518071172263,9.411856195975754e-109,7,Both
RAI,white_upper_class_female,0.9294800060207389,0.9294800060207389,2.0442789260438423e-243,13,Both
RAI,white_upper_class_male,0.9448302858707259,0.9448302858707259,3.720323025089883e-272,36,Both
RAM,white_lower_class_male,1,1,0,23,Both
RAM,white_middle_class_male,0.9635675788819897,0.9635675788819897,1.0563267203086225e-129,13,Both
RE,white_upper_class_female,0.7606005594589196,0.7606005594589196,5.127258083716922e-32,13,Both
RET,black_enslaved_black_male,0.9503468700509375,0.9503468700509375,3.217272683528927e-261,7,Both
RET,white_upper_class_female,0.5378644454106001,0.5378644454106001,8.33545679282366e-40,13,Both
RET,white_upper_class_male,1,1,0,36,Both
RL,black_enslaved_black_male,0.6077527450578338,0.6077527450578338,4.636768313122448e-61,7,Both
RL,indian_indian_tribal_member_male,0.5585374917164443,0.5585374917164443,7.293621650788899e-50,3,Both
RL,mixedindianwhiteblack_indian_tribal_leader_male,0.5386685582269357,0.5386685582269357,7.496894617393858e-46,1,Both
SAS,black_free_black_male,0.7030160729613377,0.7030160729613377,2.924542897971198e-41,9,Both
SAS,white_upper_class_female,0.7540290589328871,0.7540290589328871,1.7985389692412476e-50,13,Both
